,date,liquidity,sqrtPrice,token0Price,token1Price,volumeToken0,volumeToken1,tick
71,1639267200,26241400234523150232,1232156656575216113826722958130034,4134.541088829645856088308439908436,0.000241864811236660725531027420675175,583866937.974206,143141.544227437366661776,193048
72,1639180800,25796468659861197650,1239979820622554801184472767278759,4082.535148028162500851681988842842,0.0002449458397150587648977195523721837,867268211.598995,216375.818161954940690599,193175
73,1639094400,8703459302244342835,1268866057100393657203151354546781,3898.769928537576731119934340437511,0.0002564911544742263446576392287298223,1355095278.616532,332247.02876081134956577,193635
74,1639008000,25282257153653180303,1235256377296226714527805136577173,4113.816900805079403042480985406341,0.0002430832543383976760627385294660897,1278984671.39793,300395.080756693492268531,193098
75,1638921600,24716545238676116076,1189240319655212215402995865590741,4438.333348442499254212738220000051,0.0002253098002093331231776935568993859,799737405.813727,183681.845050925834620059,192339
76,1638835200,24164797377877041188,1206810620065520013105098438095291,4310.036229285581480419804144354647,0.0002320166111842073689204778078960628,807077457.410144,185755.88453251278954689,192632
77,1638748800,24988723829181728752,1200617103076108662918303869865380,4354.618528266386810266099897237068,0.0002296412403311270259865665591062184,1513410468.500424,368441.520817468321062659,192529
78,1638662400,25401379974108440187,1223050090702797651852143088628611,4196.340100023134196231825897818661,0.0002383028963726002699430162472820351,1254749800.445608,302621.6078844495330268,192900
79,1638576000,25111402053017352809,1233567311554093287307876272198237,4125.090325876568752875151354092631,0.0002424189341326733584273694790709269,1522718507.136642,381018.334502567099246239,193071
80,1638489600,24705106975334413442,1219782630902901535987461350724092,4218.851876663157032792611558749064,0.000237031313076328309029583377246923,1318845804.547181,303461.293321739118480641,192846
81,1638403200,25925871183158452156,1178293629986543490599059918607889,4521.183227641683865696749640694928,0.000221181038159697591131239714657425,1019034655.21442,224734.986844838469612875,192154
82,1638316800,25510775862988984862,1169656398920877280936279793649173,4588.202374247453919799587076727973,0.00021795028170788077545900346990777,746522438.677978,159857.192749978901426785,192007
83,1638230400,19387220743410691899,1163808206864878162605630526790554,4634.430105400175995914758399656771,0.000215776260998039481676538675552281,1322509649.810826,290549.962236083975505352,191907
84,1638144000,31829959698014329914,1188192259039773668807767869907469,4446.166582275605158862780667319395,0.0002249128505410580358899271793530082,772189267.477849,177140.336093649503923744,192321
85,1638057600,27914755899727989138,1208954810775351660986401803668282,4294.761308823148508430895368869996,0.0002328418107766785838704003348417407,874625257.451834,213469.417375775949915561,192668
86,1637971200,21655166239871830845,1237732850839827776413241525835882,4097.371402401003263542023829482093,0.00024405891040631897797156433825691,624850160.307726,152022.428022323181358856,193138
87,1637884800,21786924145552212355,1246241614733954367197975613821982,4041.612472107349079320442441817012,0.0002474259981384576069023707897955011,1433932220.400564,346779.87884746925751807,193275
88,1637798400,34000379107795836379,1178070942592674940908181352637500,4522.892641957957343648576934809805,0.0002210974434199925287180594879748713,632688689.490776,143511.381271865756067642,192150
89,1637712000,23122878326190218978,1212158618764250922277375152681640,4272.088687159645202414015937486293,0.0002340775375299765269457413970478119,847842067.638003,198766.208764551270489574,192721
90,1637625600,27764652511315879301,1202004176403058186672861342807698,4344.574153635686288015728102699774,0.000230172156035860556878147692742064,864910898.567878,205699.574032047464451345,192553
